customer_id,signup_date,tenure_months,monthly_spend,support_tickets_90d,contract_type,region,autopay,late_payments_6m,nps_score,churn
C0031,2022-06-12,37,116.5,6,monthly,north,yes,3,2,yes
C0032,2022-06-29,44,115.0,0,quarterly,south,yes,4,7,no
C0033,2022-07-16,4,119.25,3,annual,east,yes,0,9,no
C0034,2022-08-02,11,87.25,7,monthly,west,yes,3,1,yes
C0035,2022-08-19,19,83.0,4,monthly,north,no,1,5,yes
C0036,2022-09-05,26,92.0,4,quarterly,south,yes,0,7,no
C0037,2022-09-22,33,96.25,7,annual,east,yes,2,3,no
C0038,2022-10-09,40,127.75,5,monthly,west,no,1,4,yes
C0039,2022-10-26,47,119.75,5,quarterly,north,yes,0,6,no
C0040,2022-11-12,8,119.0,0,annual,south,yes,2,10,no
C0041,2022-11-29,15,83.5,6,monthly,east,no,1,3,yes
C0042,2022-12-16,22,90.75,1,monthly,west,no,3,6,yes
C0043,2023-01-02,29,86.25,3,quarterly,north,no,4,3,yes
C0044,2023-01-19,36,99.5,6,annual,south,no,0,5,yes
C0045,2023-02-05,44,120.5,2,monthly,east,no,3,5,yes
C0046,2023-02-22,4,131.0,4,quarterly,west,no,4,2,yes
C0047,2023-03-11,11,127.25,7,annual,north,no,0,4,yes
C0048,2023-03-28,18,83.25,3,monthly,south,no,3,4,yes
C0049,2023-04-14,25,94.0,4,monthly,east,yes,3,4,yes
C0050,2023-05-01,33,104.5,6,quarterly,west,yes,4,,yes
C0051,2023-05-18,40,86.75,1,annual,north,yes,0,10,no
C0052,2023-06-04,47,130.75,5,monthly,south,yes,3,3,yes
C0053,2023-06-21,7,134.25,7,quarterly,east,yes,4,1,yes
C0054,2023-07-08,14,57.5,2,annual,west,yes,0,10,no
C0055,2023-07-25,22,84.5,6,monthly,north,yes,3,2,yes
C0056,2023-08-11,29,97.25,3,monthly,south,no,1,6,yes
C0057,2023-08-28,36,97.25,3,quarterly,east,yes,0,8,no
C0058,2021-01-07,43,108.5,6,annual,west,yes,2,4,no
C0059,2021-01-24,3,125.0,4,monthly,north,no,1,5,yes
C0060,2021-02-10,11,134.0,4,quarterly,south,yes,0,7,no
C0061,2021-02-27,18,64.25,7,annual,east,yes,2,3,no
C0062,2021-03-16,25,95.75,5,monthly,west,no,1,4,yes
C0063,2021-04-02,32,88.0,0,monthly,north,no,3,7,yes
C0064,2021-04-19,39,100.5,2,quarterly,south,no,4,4,yes
C0065,2021-05-06,47,104.75,5,annual,east,no,0,6,yes
C0066,2021-05-23,7,132.75,1,monthly,west,no,3,6,yes
C0067,2021-06-09,14,128.25,3,quarterly,north,no,4,3,yes
C0068,2021-06-26,21,67.5,6,annual,south,no,0,5,yes
C0069,2021-07-13,28,88.5,2,monthly,east,no,3,5,yes
C0070,2021-07-30,36,106.25,3,monthly,west,yes,3,5,yes
C0071,2021-08-16,43,101.75,5,quarterly,north,yes,4,2,yes
C0072,2021-09-02,3,101.0,0,annual,south,yes,0,10,no
C0073,2021-09-19,10,136.0,4,monthly,east,yes,3,4,yes
C0074,2021-10-06,17,72.5,6,quarterly,west,yes,4,1,yes
C0075,2021-10-23,25,54.75,1,annual,north,yes,0,10,no
C0076,2021-11-09,32,98.75,5,monthly,south,yes,3,3,yes
C0077,2021-11-26,39,,2,monthly,east,no,1,7,yes
C0078,2021-12-13,46,109.5,2,quarterly,west,yes,0,9,no
C0079,2021-12-30,6,105.75,5,annual,north,yes,2,5,no
C0080,2022-01-16,14,139.25,3,monthly,south,no,1,6,yes
C0081,2022-02-02,21,65.25,3,quarterly,east,yes,0,8,no
C0082,2022-02-19,28,76.5,6,annual,west,yes,2,4,no
C0083,2022-03-08,35,93.0,4,monthly,north,no,1,5,yes
C0084,2022-03-25,42,116.25,7,monthly,south,no,3,1,yes
C0085,2022-04-11,3,105.75,1,quarterly,east,no,4,5,yes
C0086,2022-04-28,10,117.0,4,annual,west,no,0,7,no
C0087,2022-05-15,17,130.0,0,monthly,north,no,3,7,yes
C0088,2022-06-01,24,68.5,2,quarterly,south,no,4,4,yes
C0089,2022-06-18,31,72.75,5,annual,east,no,0,6,no
C0090,2022-07-05,39,100.75,1,monthly,west,no,3,6,yes
C0091,2022-07-22,46,103.5,2,monthly,north,yes,3,6,yes
C0092,2022-08-08,6,116.0,4,quarterly,south,yes,4,3,yes
C0093,2022-08-25,13,120.25,7,annual,east,yes,0,5,no
C0094,2022-09-11,20,148.25,3,monthly,west,yes,3,5,yes
C0095,2022-09-28,28,69.75,5,quarterly,north,yes,4,2,yes
C0096,2022-10-15,35,69.0,0,annual,south,yes,0,10,no
C0097,2022-11-01,42,104.0,4,monthly,east,yes,3,4,yes
C0098,2022-11-18,2,114.75,1,monthly,west,no,1,8,yes
C0099,2022-12-05,9,106.75,1,quarterly,north,yes,0,10,no
C0100,2022-12-22,17,120.0,4,annual,south,yes,2,6,no
C0101,2023-01-08,24,70.5,2,monthly,east,no,1,7,yes
C0102,2023-01-25,31,77.5,2,quarterly,west,yes,0,9,no
C0103,2023-02-11,38,73.75,5,annual,north,yes,2,5,no
C0104,2023-02-28,45,107.25,3,monthly,south,no,1,6,yes
C0105,2023-03-17,6,121.5,6,monthly,east,no,3,1,yes
C0106,2023-04-03,13,118.0,0,quarterly,west,no,4,6,yes
C0107,2023-04-20,20,114.25,3,annual,north,no,0,8,no
C0108,2023-05-07,27,84.25,7,monthly,south,no,3,1,yes
C0109,2023-05-24,34,73.75,1,quarterly,east,no,4,5,yes
C0110,2023-06-10,42,85.0,4,annual,west,no,0,7,yes
C0111,2023-06-27,2,98.0,0,monthly,north,no,3,7,yes
C0112,2023-07-14,9,117.75,1,monthly,south,yes,3,7,yes
C0113,2023-07-31,16,121.25,3,quarterly,east,yes,4,4,no
C0114,2023-08-17,23,132.5,6,annual,west,yes,0,6,no
C0115,2023-09-03,31,71.5,2,monthly,north,yes,3,6,yes
C0116,2021-01-13,38,84.0,4,quarterly,south,yes,4,3,yes
C0117,2021-01-30,45,88.25,7,annual,east,yes,0,5,no
C0118,2021-02-16,5,116.25,3,monthly,west,yes,3,5,yes
C0119,2021-03-05,12,112.0,0,monthly,north,no,1,9,yes
C0120,2021-03-22,20,121.0,0,quarterly,south,yes,0,10,no
C0121,2021-04-08,27,125.25,3,annual,east,yes,2,7,no
C0122,2021-04-25,34,82.75,1,monthly,west,no,1,8,yes
C0123,2021-05-12,41,74.75,1,quarterly,north,yes,0,10,no
C0124,2021-05-29,48,88.0,4,annual,south,yes,2,6,no
C0125,2021-06-15,9,112.5,2,monthly,east,no,1,7,yes
C0126,2021-07-02,16,133.75,5,monthly,west,no,3,2,yes
C0127,2021-07-19,23,129.25,7,quarterly,north,no,4,1,yes
C0128,2021-08-05,30,54.5,2,annual,south,no,0,9,no
C0129,2021-08-22,37,89.5,6,monthly,east,no,3,1,yes
C0130,2021-09-08,45,86.0,0,quarterly,west,no,4,6,yes
C0131,2021-09-25,5,82.25,3,annual,north,no,0,8,no
C0132,2021-10-12,12,126.25,7,monthly,south,no,3,1,yes
C0133,2021-10-29,19,123.0,0,monthly,east,yes,3,8,yes
C0134,2021-11-15,26,133.5,2,quarterly,west,yes,4,5,no
C0135,2021-12-02,34,55.75,5,annual,north,yes,0,7,no
C0136,2021-12-19,41,85.75,1,monthly,south,yes,3,7,yes
C0137,2022-01-05,48,89.25,3,quarterly,east,yes,4,4,no
C0138,2022-01-22,8,100.5,6,annual,west,yes,0,6,no
C0139,2022-02-08,15,113.5,2,monthly,north,yes,3,6,yes
C0140,2022-02-25,23,140.25,7,monthly,south,no,1,2,yes
C0141,2022-03-14,30,140.25,7,quarterly,east,yes,0,4,no
C0142,2022-03-31,37,63.5,2,annual,west,yes,2,8,no
C0143,2022-04-17,44,80.0,0,monthly,north,no,1,9,yes
C0144,2022-05-04,4,89.0,0,quarterly,south,yes,0,10,no
C0145,2022-05-21,12,93.25,3,annual,east,yes,2,7,no
C0146,2022-06-07,19,124.75,1,monthly,west,no,1,8,yes
C0147,2022-06-24,26,131.0,4,monthly,north,no,3,3,yes
C0148,2022-07-11,33,69.5,6,quarterly,south,no,4,1,yes
C0149,2022-07-28,40,59.75,1,annual,east,no,0,10,no
C0150,2022-08-14,48,101.75,5,monthly,west,no,3,2,yes
C0151,2022-08-31,8,97.25,7,quarterly,north,no,4,1,yes
C0152,2022-09-17,15,96.5,2,annual,south,no,0,9,no
C0153,2022-10-04,22,131.5,6,monthly,east,no,3,1,yes
C0154,2022-10-21,29,149.25,7,monthly,west,yes,3,1,yes
C0155,2022-11-07,37,56.75,1,quarterly,north,yes,4,6,no
C0156,2022-11-24,44,70.0,4,annual,south,yes,0,8,no
C0157,2022-12-11,4,91.0,0,monthly,east,yes,3,8,yes
C0158,2022-12-28,11,101.5,2,quarterly,west,yes,4,5,no
C0159,2023-01-14,18,97.75,5,annual,north,yes,0,7,no
C0160,2023-01-31,26,127.75,1,monthly,south,yes,3,7,yes
C0161,2023-02-17,33,145.5,6,monthly,east,no,1,3,yes
C0162,2023-03-06,40,78.5,6,quarterly,west,yes,0,5,no
C0163,2023-03-23,47,60.75,1,annual,north,yes,2,9,no
C0164,2023-04-09,7,108.25,7,monthly,south,no,1,2,yes
C0165,2023-04-26,15,108.25,7,quarterly,east,yes,0,4,yes
C0166,2023-05-13,22,105.5,2,annual,west,yes,2,8,no
C0167,2023-05-30,29,122.0,0,monthly,north,no,1,9,yes
C0168,2023-06-16,36,145.25,3,monthly,south,no,3,4,yes
C0169,2023-07-03,43,74.75,5,quarterly,east,no,4,1,yes
C0170,2023-07-20,4,72.0,0,annual,west,no,0,10,no
C0171,2023-08-06,11,99.0,4,monthly,north,no,3,3,yes
C0172,2023-08-23,18,111.5,6,quarterly,south,no,4,1,yes
C0173,2021-01-02,25,101.75,1,annual,east,no,0,10,no
C0174,2021-01-19,32,143.75,5,monthly,west,no,3,2,yes
C0175,2021-02-05,40,72.5,6,monthly,north,yes,3,2,yes
C0176,2021-02-22,47,71.0,0,quarterly,south,yes,4,7,no
C0177,2021-03-11,7,75.25,3,annual,east,yes,0,9,no
C0178,2021-03-28,14,117.25,7,monthly,west,yes,3,1,yes
C0179,2021-04-14,21,98.75,1,quarterly,north,yes,4,6,no
C0180,2021-05-01,29,112.0,4,annual,south,yes,0,8,no
C0181,2021-05-18,36,133.0,0,monthly,east,yes,3,8,yes
C0182,2021-06-04,43,83.75,5,monthly,west,no,1,4,yes
C0183,2021-06-21,3,75.75,5,quarterly,north,yes,0,6,no
C0184,2021-07-08,10,75.0,0,annual,south,yes,2,10,no
C0185,2021-07-25,18,113.5,6,monthly,east,no,1,3,yes
C0186,2021-08-11,25,120.5,6,quarterly,west,yes,0,5,no
C0187,2021-08-28,32,102.75,1,annual,north,yes,2,9,no
C0188,2021-09-14,39,150.25,7,monthly,south,no,1,2,yes
C0189,2021-10-01,46,76.5,2,monthly,east,no,3,5,yes
C0190,2021-10-18,7,87.0,4,quarterly,west,no,4,2,yes
C0191,2021-11-04,14,83.25,7,annual,north,no,0,4,yes
C0192,2021-11-21,21,113.25,3,monthly,south,no,3,4,yes
C0193,2021-12-08,28,116.75,5,quarterly,east,no,4,1,yes
C0194,2021-12-25,35,114.0,0,annual,west,no,0,10,no
C0195,2022-01-11,43,141.0,4,monthly,north,no,3,3,yes
C0196,2022-01-28,3,86.75,5,monthly,south,yes,3,3,yes
C0197,2022-02-14,10,90.25,7,quarterly,east,yes,4,1,yes
C0198,2022-03-03,17,87.5,2,annual,west,yes,0,10,no
C0199,2022-03-20,24,114.5,6,monthly,north,yes,3,2,yes
C0200,2022-04-06,32,113.0,0,quarterly,south,yes,4,7,no
C0201,2022-04-23,39,117.25,3,annual,east,yes,0,9,no
C0202,2022-05-10,46,85.25,7,monthly,west,yes,3,1,yes
C0203,2022-05-27,6,81.0,4,monthly,north,no,1,5,yes
C0204,2022-06-13,13,90.0,4,quarterly,south,yes,0,7,no
C0205,2022-06-30,21,94.25,7,annual,east,yes,2,3,no
C0206,2022-07-17,28,125.75,5,monthly,west,no,1,4,yes
C0207,2022-08-03,35,117.75,5,quarterly,north,yes,0,6,no
C0208,2022-08-20,42,117.0,0,annual,south,yes,2,10,no
C0209,2022-09-06,2,81.5,6,monthly,east,no,1,3,yes
C0210,2022-09-23,10,88.75,1,monthly,west,no,3,6,yes
C0211,2022-10-10,17,84.25,3,quarterly,north,no,4,3,yes
C0212,2022-10-27,24,97.5,6,annual,south,no,0,5,yes
C0213,2022-11-13,31,118.5,2,monthly,east,no,3,5,yes
C0214,2022-11-30,38,129.0,4,quarterly,west,no,4,2,yes
C0215,2022-12-17,46,125.25,7,annual,north,no,0,4,yes
C0216,2023-01-03,6,81.25,3,monthly,south,no,3,4,yes
C0217,2023-01-20,13,92.0,4,monthly,east,yes,3,4,yes
C0218,2023-02-06,20,102.5,6,quarterly,west,yes,4,1,yes
C0219,2023-02-23,27,84.75,1,annual,north,yes,0,10,no
C0220,2023-03-12,35,128.75,5,monthly,south,yes,3,3,yes
C0221,2023-03-29,42,132.25,7,quarterly,east,yes,4,1,yes
C0222,2023-04-15,2,55.5,2,annual,west,yes,0,10,no
C0223,2023-05-02,9,82.5,6,monthly,north,yes,3,2,yes
C0224,2023-05-19,16,95.25,3,monthly,south,no,1,6,yes
C0225,2023-06-05,24,95.25,3,quarterly,east,yes,0,8,no
C0226,2023-06-22,31,106.5,6,annual,west,yes,2,4,no
C0227,2023-07-09,38,123.0,4,monthly,north,no,1,5,yes
C0228,2023-07-26,45,132.0,4,quarterly,south,yes,0,7,no
C0229,2023-08-12,5,62.25,7,annual,east,yes,2,3,no
C0230,2023-08-29,13,93.75,5,monthly,west,no,1,4,yes
C0231,2021-01-08,20,86.0,0,monthly,north,no,3,7,yes
C0232,2021-01-25,27,98.5,2,quarterly,south,no,4,4,yes
C0233,2021-02-11,34,102.75,5,annual,east,no,0,6,no
C0234,2021-02-28,41,130.75,1,monthly,west,no,3,6,yes
C0235,2021-03-17,2,126.25,3,quarterly,north,no,4,3,yes
C0236,2021-04-03,9,65.5,6,annual,south,no,0,5,yes
C0237,2021-04-20,16,86.5,2,monthly,east,no,3,5,yes
C0238,2021-05-07,23,104.25,3,monthly,west,yes,3,5,yes
C0239,2021-05-24,30,99.75,5,quarterly,north,yes,4,2,yes
C0240,2021-06-10,38,99.0,0,annual,south,yes,0,10,no
